asin,brand,color,medium_image_url,product_type_name,title,formatted_price
B072BS1CMD,THILFIGER RTW,Blue,https://images-na.ssl-images-amazon.com/images/I/51cM4uDSWsL._SL160_.jpg,SHIRT,tommy hilfiger laceyoke striped blouse navy l ,$13.35
B01BX9G1HW,Luxury Divas,Beige,https://images-na.ssl-images-amazon.com/images/I/41nUqrqJEYL._SL160_.jpg,SHIRT,light beige loose fit top long fringe ,$49.99
B011XQKR02,bankhunyabangyai store,as the picture,https://images-na.ssl-images-amazon.com/images/I/41cfsr-zZML._SL160_.jpg,SHIRT,summer women colorful flower square chiffon blouse bky12store2009 ,$28.99
B071DK29B3,Macbeth,Black,https://images-na.ssl-images-amazon.com/images/I/4189-ICzTFL._SL160_.jpg,SHIRT,macbeth womens collection lace cami black ,$24.99
B01DIKQBRO,LEORX,White,https://images-na.ssl-images-amazon.com/images/I/31y%2BBLF2oTL._SL160_.jpg,SHIRT,leorx fake collar girls lace detachable removable half blouse half shirt collar ,$18.29
B010TKXAI4,Doxi Supermall,White,https://images-na.ssl-images-amazon.com/images/I/41xC-lvkXHL._SL160_.jpg,SHIRT,doxi harajuku emoji alien women sexy crop top slim shirt tank top hipster vest ,$11.73
B06XYRW1DM,Black Swan,Black,https://images-na.ssl-images-amazon.com/images/I/41ATi0GhFgL._SL160_.jpg,SHIRT,black swan durani long sleeve top black womens ,$79.99
B0714GYNS1,James Perse,White,https://images-na.ssl-images-amazon.com/images/I/41StBQ-N0xL._SL160_.jpg,SHIRT,james perse rib tank white 1 small ,$85.00
B01M5KLX65,MKP Crop Top,"Black, White, Green, Pink, Blue",https://images-na.ssl-images-amazon.com/images/I/41cDp2y4G6L._SL160_.jpg,SHIRT,women pattern four alien printed white sleeveless crop top ,$5.00
B00VH3TZLO,Vanilla Star Jeans,White,https://images-na.ssl-images-amazon.com/images/I/41Lntv2iXnL._SL160_.jpg,SHIRT,vanilla star jeans  juniors  white crochet top  l  white v1423e007 ,$24.99
B01I5OCEU6,Bandolino,Dip Dye Bleach,https://images-na.ssl-images-amazon.com/images/I/41OJdQR1fqL._SL160_.jpg,SHIRT,bandolino ladies size small jordan style roll tab sleeves shirt dip dye bleach ,$16.99
B074P8RKKB,Chloe K.,Blue,https://images-na.ssl-images-amazon.com/images/I/51t92K8NDnL._SL160_.jpg,SHIRT,chloe k white womens large floral printed seamed blouse blue l ,$10.99
B0747WZQFF,Yummie,White,https://images-na.ssl-images-amazon.com/images/I/41RtZURGruL._SL160_.jpg,SHIRT,yummie heather thomson womens leila racer tank sm white ,$24.99
B01MDQGB8N,Serena Williams,Light Mocha/black,https://images-na.ssl-images-amazon.com/images/I/415JtWb6R%2BL._SL160_.jpg,SHIRT,serena williams runway 2pack sweater set large blacklight mocha ,$39.90
B00RF2VYII,Jtc,As the Picture,https://images-na.ssl-images-amazon.com/images/I/414L0%2BMHmKL._SL160_.jpg,SHIRT,jtc tshirt digital printing casual top one size multicolor ,$8.50
B0756KFH85,Catherine Malandrino,Blue,https://images-na.ssl-images-amazon.com/images/I/41F1mUsQJRL._SL160_.jpg,SHIRT,catherine malandrino womens small splitneck blouse blue ,$26.85
B01LZPOOTA,Shinywear,Blue,https://images-na.ssl-images-amazon.com/images/I/51kx5nt%2BmML._SL160_.jpg,SHIRT,shinywear vintage ladys halfshirt detachable fake collar blue denim blouse casual ,$12.99
B071FY66NK,10 Crosby Derek Lam,Multi-color,https://images-na.ssl-images-amazon.com/images/I/51JmpYCJb1L._SL160_.jpg,SHIRT,derek lam 10 crosby long sleeve shoulder top 6 ,$119.99
B06Y33FZV7,MSK,Blue,https://images-na.ssl-images-amazon.com/images/I/51aDbo5PRXL._SL160_.jpg,SHIRT,msk womens plus floral print rhinestoneside blouse blue 1x ,$16.97
B01MYZH64F,Drew Shoe,White,https://images-na.ssl-images-amazon.com/images/I/31Medi0KwwL._SL160_.jpg,SHIRT,drew womens double layer camisole white medium ,$103.00
B074P9Q6HM,10 Crosby Derek Lam,Midnight Multi,https://images-na.ssl-images-amazon.com/images/I/51kp8vl%2BqfL._SL160_.jpg,SHIRT,derek lam 10 crosby womens silk cami 4 white ,$129.99
B071VYLYCY,Pleione,Green,https://images-na.ssl-images-amazon.com/images/I/41e7Xydrv3L._SL160_.jpg,SHIRT,pleione womens small petite rolltab splitneck blouse green ps ,$13.97
B01N29HMSI,Ibaexports,Black,https://images-na.ssl-images-amazon.com/images/I/41XyPXlNVHL._SL160_.jpg,SHIRT,rayon top tunic cotton long sleeve embroidered indian clothing top ,$27.64
B0759KP7QP,Flora Nikrooz,Ivory,https://images-na.ssl-images-amazon.com/images/I/41Y5%2BJ5k9kL._SL160_.jpg,SHIRT,flora nikrooz show stopper bodysuit ivory xsmall ,$105.95
B01J689M7S,Drew Shoe,Sand/Cream,https://images-na.ssl-images-amazon.com/images/I/31p4xI%2BHmDL._SL160_.jpg,SHIRT,drew womens birke double layer hi low hem top sz sandcream 230664e ,$75.99
B06X6MXBH4,Sankuwen,Gray,https://images-na.ssl-images-amazon.com/images/I/517LC5vEfHL._SL160_.jpg,SHIRT,sankuwen womens letters printed hooded sweater hooded sweatshirt hedging top blouse gray ,$11.90
